run,mode,state_bits,vote_bits,seed,gate_count,abc_pre_sop_nodes,abc_pre_sop_edges,abc_pre_sop_cubes,abc_pre_sop_levels,abc_strash_and,abc_strash_levels,abc_dc2_and,abc_dc2_levels,abc_dc2_and_reduction,abc_lut4_nodes,abc_lut4_edges,abc_lut4_levels,abc_lut4_reduction_vs_original,abc_runtime_s,cec_equivalent,optimized_blif,optimized_blif_bytes,optimized_blif_sha256,blif_input_count,blif_output_count,blif_node_count,blif_edge_count,blif_fanout_max,blif_index_bits,blif_k4_logical_payload_bits,abc_log,cec_log
v2_argmax_w672_s0,argmax,672,160,0,320,320,1275,1959,2,1848,13,1134,9,0.38636363636363635,312,1146,3,0.025000000000000022,0.09327483712695539,True,optimized_blif/v2_argmax_w672_s0.dc2_k4.blif,21465,763ab3c8da5e785cbbe19c654a0257e5a5daa343f7204c0dc2cd27570d7746e3,20,8,312,1146,11,9,15378,logs/v2_argmax_w672_s0.abc.log,logs/v2_argmax_w672_s0.cec.log
v2_argmax_w672_s1,argmax,672,160,1,320,320,1270,1923,2,1818,12,1138,8,0.3740374037403741,313,1158,3,0.021874999999999978,0.08678160794079304,True,optimized_blif/v2_argmax_w672_s1.dc2_k4.blif,21520,60ba15314bee525885e0265158e75fe5afe0b3481129f753143c1e917d0e79d7,20,8,313,1158,11,9,15502,logs/v2_argmax_w672_s1.abc.log,logs/v2_argmax_w672_s1.cec.log
v2_argmax_w672_s2,argmax,672,160,2,320,320,1276,1954,2,1805,11,1112,10,0.3839335180055402,301,1114,3,0.059374999999999956,0.0848877418320626,True,optimized_blif/v2_argmax_w672_s2.dc2_k4.blif,21004,4eff970056c6787cb1977d687ec5f5be82e38466d13d555c786fee987f2a07a7,20,8,301,1114,14,9,14914,logs/v2_argmax_w672_s2.abc.log,logs/v2_argmax_w672_s2.cec.log
v2_argmax_w832_s0,argmax,832,320,0,640,640,2553,4249,2,3908,12,2322,9,0.4058341862845445,582,2201,3,0.09062499999999996,0.1196939810179174,True,optimized_blif/v2_argmax_w832_s0.dc2_k4.blif,40792,99938ad243378dab965a0b23b8f4cc76f81523a8cabb019c9a9a6fca235aa357,20,8,582,2201,18,10,31402,logs/v2_argmax_w832_s0.abc.log,logs/v2_argmax_w832_s0.cec.log
v2_argmax_w832_s1,argmax,832,320,1,640,640,2556,4167,2,3978,12,2368,10,0.4047259929612871,606,2288,3,0.05312499999999998,0.12629386293701828,True,optimized_blif/v2_argmax_w832_s1.dc2_k4.blif,41938,3f370826fd88f7e96842acdb525eab7caafc6f8fe7b0281e4fd5091cf1df258a,20,8,606,2288,16,10,32656,logs/v2_argmax_w832_s1.abc.log,logs/v2_argmax_w832_s1.cec.log
v2_argmax_w832_s2,argmax,832,320,2,640,640,2543,4139,2,3810,12,2320,9,0.3910761154855643,600,2258,3,0.0625,0.1174476349260658,True,optimized_blif/v2_argmax_w832_s2.dc2_k4.blif,41217,40e8d974de0990d43eb1f24e3142d78984507dc4bf8bc4a3bf3a0a3216ba32c0,20,8,600,2258,21,10,32260,logs/v2_argmax_w832_s2.abc.log,logs/v2_argmax_w832_s2.cec.log
v2_truth_w672_s0,truth,672,160,0,320,320,1273,1966,2,1862,12,1152,8,0.38131041890440387,321,1177,3,-0.0031250000000000444,0.09271149197593331,True,optimized_blif/v2_truth_w672_s0.dc2_k4.blif,21780,3ee4ef2593760825a42517edafa0d192e06aa30f207c320b886d1bff3445691d,20,8,321,1177,12,9,15801,logs/v2_truth_w672_s0.abc.log,logs/v2_truth_w672_s0.cec.log
v2_truth_w672_s1,truth,672,160,1,320,320,1273,1921,2,1912,12,1194,9,0.37552301255230125,314,1177,3,0.018750000000000044,0.09536580997519195,True,optimized_blif/v2_truth_w672_s1.dc2_k4.blif,21808,eb5df6101fbd858dcc88c64fa55d084439c37c1696f3a7f37ba8506fd99a3dd8,20,8,314,1177,12,9,15689,logs/v2_truth_w672_s1.abc.log,logs/v2_truth_w672_s1.cec.log
v2_truth_w672_s2,truth,672,160,2,320,320,1274,1940,2,1756,11,1085,8,0.3821184510250569,299,1107,3,0.06562500000000004,0.09244792605750263,True,optimized_blif/v2_truth_w672_s2.dc2_k4.blif,20695,f7aec8119b2ece089915dd42d50ed7a7d85de3d0761263f94cefa0b5a5e9cf76,20,8,299,1107,15,9,14819,logs/v2_truth_w672_s2.abc.log,logs/v2_truth_w672_s2.cec.log
v2_truth_w832_s0,truth,832,320,0,640,640,2547,4136,2,4028,12,2410,9,0.4016881827209533,618,2331,3,0.034375000000000044,0.12199397501535714,True,optimized_blif/v2_truth_w832_s0.dc2_k4.blif,42642,c361ea977d59e5f8538dc021e71a07b55eb72f5da7d1e8e5a98f1619ca26790a,20,8,618,2331,17,10,33278,logs/v2_truth_w832_s0.abc.log,logs/v2_truth_w832_s0.cec.log
v2_truth_w832_s1,truth,832,320,1,640,640,2551,4010,2,3879,13,2387,9,0.38463521526166533,614,2293,3,0.04062500000000002,0.1300490030553192,True,optimized_blif/v2_truth_w832_s1.dc2_k4.blif,42015,aecaa85b44b9e82782687b6168625afa3feab743cd83222369c4125adaab6457,20,8,614,2293,16,10,32834,logs/v2_truth_w832_s1.abc.log,logs/v2_truth_w832_s1.cec.log
v2_truth_w832_s2,truth,832,320,2,640,640,2552,4123,2,3807,12,2281,9,0.4008405568689256,606,2248,3,0.05312499999999998,0.12056614691391587,True,optimized_blif/v2_truth_w832_s2.dc2_k4.blif,41176,1f3829bf0d920dad0bdd6244a1d45d580eb7163a1a30a5f72a3f31878dd9e5f6,20,8,606,2248,16,10,32256,logs/v2_truth_w832_s2.abc.log,logs/v2_truth_w832_s2.cec.log
v2_wiring_w672_s0,wiring,672,160,0,320,320,1273,1966,2,1862,12,1152,8,0.38131041890440387,321,1177,3,-0.0031250000000000444,0.0910716550424695,True,optimized_blif/v2_wiring_w672_s0.dc2_k4.blif,21780,5169500e58ed08dc589b30ad095dff70539650bb1b8e41d85e2f5e3b4f6565b9,20,8,321,1177,12,9,15801,logs/v2_wiring_w672_s0.abc.log,logs/v2_wiring_w672_s0.cec.log
v2_wiring_w672_s1,wiring,672,160,1,320,320,1273,1921,2,1912,12,1194,9,0.37552301255230125,314,1177,3,0.018750000000000044,0.08998261694796383,True,optimized_blif/v2_wiring_w672_s1.dc2_k4.blif,21808,af5580b33a2fa2e8ddf7085d7d9b3c46ba5c925e9c491de573ae0c45245a9db5,20,8,314,1177,12,9,15689,logs/v2_wiring_w672_s1.abc.log,logs/v2_wiring_w672_s1.cec.log
v2_wiring_w672_s2,wiring,672,160,2,320,320,1274,1940,2,1756,11,1085,8,0.3821184510250569,299,1107,3,0.06562500000000004,0.0898662859108299,True,optimized_blif/v2_wiring_w672_s2.dc2_k4.blif,20695,017bbd3decb3bb00adc7812375b9d1935d21f04a978db26d978826376da3f782,20,8,299,1107,15,9,14819,logs/v2_wiring_w672_s2.abc.log,logs/v2_wiring_w672_s2.cec.log
v2_wiring_w832_s0,wiring,832,320,0,640,640,2547,4136,2,4028,12,2410,9,0.4016881827209533,618,2331,3,0.034375000000000044,0.13877953798510134,True,optimized_blif/v2_wiring_w832_s0.dc2_k4.blif,42642,76b83bd664cc14aa05d44bd1fab37192a697081b49bbf86a6e33adff0db3c4c5,20,8,618,2331,17,10,33278,logs/v2_wiring_w832_s0.abc.log,logs/v2_wiring_w832_s0.cec.log
v2_wiring_w832_s1,wiring,832,320,1,640,640,2551,4010,2,3879,13,2387,9,0.38463521526166533,614,2293,3,0.04062500000000002,0.12951188092119992,True,optimized_blif/v2_wiring_w832_s1.dc2_k4.blif,42015,c4da3486eb5809220188029253e7a4be8c51d7fb773fa547dbcfc980a0d7df7c,20,8,614,2293,16,10,32834,logs/v2_wiring_w832_s1.abc.log,logs/v2_wiring_w832_s1.cec.log
