method,dataset,seed,hardware,source_commit,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,train_time,epoch_to_20pct,time_to_20pct,unused_gate_ratio,activation_inactive_gate_ratio,layer_gap_max_flip_ratio,layer_gap_final_flip_ratio,constant_gate_ratio,literal_gate_ratio,nontrivial_gate_ratio,gate_count,depth,fanout_max,bit_exact_verified
dlgn,cifar10,0,NVIDIA H200 NVL,5aaee9d,0.28,0.2637,0.016300000000000037,1.9879461029052734,2.028863271141052,0.040917168235778734,1981.144724112004,4,266.32061351501034,0.1004941314458847,0.038661858974358976,0.124652099609375,0.124652099609375,0.035256410256410256,0.8826789529914529,0.08206463675213675,14976,9,228,True
dlgn,cifar10,1,NVIDIA H200 NVL,5aaee9d,0.2796,0.274,0.005599999999999994,1.9915182525634765,2.0075412046432497,0.016022952079773223,1961.9390589400136,4,262.6196589600004,0.11745460331439972,0.036792200854700856,0.11656646728515625,0.11656646728515625,0.03465544871794872,0.8796073717948718,0.08573717948717949,14976,9,219,True
dlgn,cifar10,2,NVIDIA H200 NVL,5aaee9d,0.2823,0.2765,0.005799999999999972,1.963841946029663,1.9986879291534423,0.03484598312377929,1955.1990028629953,5,327.33852916999604,0.1004941314458847,0.03986378205128205,0.12878570556640626,0.12878570556640626,0.03699252136752137,0.8818108974358975,0.0811965811965812,14976,9,232,True
annealing,cifar10,0,NVIDIA H200 NVL,5aaee9d,0.2623,0.2639,0.0016000000000000458,2.0219687547683716,2.006268939971924,0.015699814796447775,1945.5487018489803,11,712.6002501559851,0.1350160390138626,0.023838141025641024,0.20384279031019945,0.14786529541015625,0.020699786324786324,0.9240117521367521,0.055288461538461536,14976,9,228,True
annealing,cifar10,1,NVIDIA H200 NVL,5aaee9d,0.2673,0.2695,0.0022000000000000353,1.9932599380493163,1.987860649871826,0.005399288177490247,1969.3319660960115,9,592.7708579300088,0.13381411135196686,0.020566239316239316,0.19409814981313853,0.14455718994140626,0.01842948717948718,0.930088141025641,0.05148237179487179,14976,9,219,True
annealing,cifar10,2,NVIDIA H200 NVL,5aaee9d,0.2626,0.2438,0.01880000000000001,2.0244925117492674,2.045547966957092,0.021055455207824814,1949.9932213310094,13,845.6712390350003,0.13895566761493683,0.025106837606837608,0.2193184595841628,0.12683258056640626,0.023036858974358976,0.9237446581196581,0.053218482905982904,14976,9,232,True
gumbel_st,cifar10,0,NVIDIA H200 NVL,7cc6b24,0.1,0.1264,0.026400000000000007,2.3026317539215087,2.360168296813965,0.05753654289245613,2051.9171383779903,-1,,0.902911365032196,0.049145299145299144,0.46642880806556114,0.42808380126953127,0.03859508547008547,0.665531517094017,0.2958733974358974,14976,9,228,True
gumbel_st,cifar10,1,NVIDIA H200 NVL,5aaee9d,0.1,0.1448,0.044800000000000006,2.3026666458129883,2.3188584716796874,0.016191825866699094,2039.9075650739833,-1,,0.962406575679779,0.034254807692307696,0.4731582568242,0.4165557861328125,0.02624198717948718,0.7091346153846153,0.2646233974358974,14976,9,219,True
gumbel_st,cifar10,2,NVIDIA H200 NVL,5aaee9d,0.1,0.1207,0.020699999999999996,2.302691003417969,2.374616519165039,0.07192551574707018,2031.1110264630115,-1,,0.9664797782897949,0.03919604700854701,0.48128371238708495,0.42125396728515624,0.027043269230769232,0.7104700854700855,0.2624866452991453,14976,9,232,True
progressive_hard_st,cifar10,0,NVIDIA H200 NVL,7cc6b24,0.2702,0.2644,0.005799999999999972,1.9917055740356446,2.0050368171691892,0.013331243133544612,1994.731147924991,4,263.9223744419869,0.0006009615608491004,0.03612446581196581,0.06849822998046876,0.06849822998046876,0.032385149572649576,0.8928285256410257,0.07478632478632478,14976,9,228,True
progressive_hard_st,cifar10,1,NVIDIA H200 NVL,7cc6b24,0.2929,0.2838,0.009099999999999997,1.9596717288970946,1.9791338529586793,0.01946212406158465,1981.2590003179794,4,259.99202721900656,0.00026709403027780354,0.03365384615384615,0.07554168701171875,0.07554168701171875,0.031850961538461536,0.8896233974358975,0.07852564102564102,14976,9,219,True
progressive_hard_st,cifar10,2,NVIDIA H200 NVL,7cc6b24,0.2818,0.2855,0.003699999999999981,1.9592484426498413,1.9682451286315918,0.008996685981750518,1987.332515319984,5,328.91286868200405,0.00040064105996862054,0.03699252136752137,0.07278594970703126,0.07278594970703126,0.03365384615384615,0.8901575854700854,0.07618856837606838,14976,9,232,True
