method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
dlgn,parity6,0,full_soft_vs_discrete,0,1,0.38374683260917664,0.6326387524604797,0.15813858807086945,0.123046875,0.0,0.1875
dlgn,parity6,0,full_soft_vs_discrete,1,2,0.4665009081363678,0.6322829127311707,0.22137196362018585,0.341796875,0.0,0.21875
dlgn,parity6,0,full_soft_vs_discrete,2,3,0.47529277205467224,0.6112160086631775,0.23179352283477783,0.3828125,0.0,0.21875
dlgn_anneal,parity6,0,full_soft_vs_discrete,0,1,0.13043907284736633,0.5136522054672241,0.038921914994716644,0.01953125,0.0,0.15625
dlgn_anneal,parity6,0,full_soft_vs_discrete,1,2,0.251198410987854,0.6354978084564209,0.0957782194018364,0.0625,0.0,0.1875
dlgn_anneal,parity6,0,full_soft_vs_discrete,2,3,0.2910647392272949,0.7193364500999451,0.12028522044420242,0.1484375,0.0,0.28125
gumbel_st,parity6,0,full_soft_vs_discrete,0,1,0.1892675757408142,0.6243007183074951,0.061546336859464645,0.033203125,0.0,0.15625
gumbel_st,parity6,0,full_soft_vs_discrete,1,2,0.31570136547088623,0.6398923993110657,0.125740185379982,0.134765625,0.0,0.1875
gumbel_st,parity6,0,full_soft_vs_discrete,2,3,0.3544676601886749,0.638980507850647,0.15044119954109192,0.22265625,0.0,0.375
gumbel_st_cage,parity6,0,full_soft_vs_discrete,0,1,0.4692363440990448,0.5507708787918091,0.22138316929340363,0.1640625,0.0,0.1875
gumbel_st_cage,parity6,0,full_soft_vs_discrete,1,2,0.49492311477661133,0.5319721698760986,0.245245561003685,0.40234375,0.0,0.25
gumbel_st_cage,parity6,0,full_soft_vs_discrete,2,3,0.49480268359184265,0.540884256362915,0.24535073339939117,0.42578125,0.0,0.3125
hard_st,parity6,0,full_soft_vs_discrete,0,1,0.41605284810066223,0.6688764095306396,0.18297743797302246,0.208984375,0.0,0.15625
hard_st,parity6,0,full_soft_vs_discrete,1,2,0.4696848392486572,0.6038792729377747,0.2240421175956726,0.337890625,0.0,0.25
hard_st,parity6,0,full_soft_vs_discrete,2,3,0.47242388129234314,0.5703014135360718,0.22874107956886292,0.38671875,0.0,0.40625
hard_st_cage,parity6,0,full_soft_vs_discrete,0,1,0.47396284341812134,0.5789080858230591,0.22597670555114746,0.208984375,0.0,0.125
hard_st_cage,parity6,0,full_soft_vs_discrete,1,2,0.4945068955421448,0.5336437225341797,0.24487760663032532,0.3671875,0.0,0.34375
hard_st_cage,parity6,0,full_soft_vs_discrete,2,3,0.49242961406707764,0.5411144495010376,0.2429640144109726,0.32421875,0.0,0.4375
block_relaxed,parity6,0,full_soft_vs_discrete,0,1,0.3908050060272217,0.5819202661514282,0.16153959929943085,0.138671875,0.0,0.15625
block_relaxed,parity6,0,full_soft_vs_discrete,1,2,0.4702185094356537,0.5919202566146851,0.22435525059700012,0.31640625,0.0,0.1875
block_relaxed,parity6,0,full_soft_vs_discrete,2,3,0.4708757996559143,0.607009768486023,0.22767537832260132,0.35546875,0.0,0.28125
block_hard_refit,parity6,0,full_soft_vs_discrete,0,1,0.38172227144241333,0.49800676107406616,0.1524568647146225,0.0,0.0,0.1875
block_hard_refit,parity6,0,full_soft_vs_discrete,1,2,0.4608127474784851,0.5620391964912415,0.21465711295604706,0.208984375,0.0,0.28125
block_hard_refit,parity6,0,full_soft_vs_discrete,2,3,0.4645732343196869,0.5961140394210815,0.22148334980010986,0.279296875,0.0,0.28125
block_hard_refit,parity6,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.1875,0.1875
block_hard_refit,parity6,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.28125,0.28125
block_hard_refit,parity6,0,path_soft_vs_discrete,2,3,0.3832699656486511,0.4983946681022644,0.15387076139450073,0.0,0.0625,0.28125
block_hard_task_refit,parity6,0,full_soft_vs_discrete,0,1,0.40264755487442017,0.733300507068634,0.17338219285011292,0.1171875,0.0,0.28125
block_hard_task_refit,parity6,0,full_soft_vs_discrete,1,2,0.4839726388454437,0.6428667306900024,0.23776710033416748,0.4296875,0.0,0.3125
block_hard_task_refit,parity6,0,full_soft_vs_discrete,2,3,0.4636668860912323,0.5807563066482544,0.22043612599372864,0.29296875,0.0,0.5625
block_hard_task_refit,parity6,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.28125,0.28125
block_hard_task_refit,parity6,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.3125,0.3125
block_hard_task_refit,parity6,0,path_soft_vs_discrete,2,3,0.40542295575141907,0.7054570913314819,0.17381209135055542,0.12109375,0.0625,0.5625
