method,dataset,seed,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,path_soft_acc,path_discrete_acc,path_acc_gap,path_soft_loss,path_discrete_loss,path_loss_gap,train_time,epochs_to_target,time_to_target,unused_gate_ratio,gate_count,depth,fanout_max,soft_inference_samples_per_sec,discrete_inference_samples_per_sec,inference_bench_repeats
dlgn,parity6,0,0.25,0.5,0.25,0.8425965905189514,1.3213924169540405,0.4787958264350891,0.25,0.5,0.25,0.8425965905189514,1.3213924169540405,0.4787958264350891,0.1700236750766635,-1,-1.0,0.19791666666666666,96,3,11,nan,nan,0
dlgn_anneal,parity6,0,0.1875,0.375,0.1875,0.94418865442276,1.230225682258606,0.28603702783584595,0.1875,0.375,0.1875,0.94418865442276,1.230225682258606,0.28603702783584595,0.09674512408673763,-1,-1.0,0.19791666666666666,96,3,11,nan,nan,0
gumbel_st,parity6,0,0.25,0.375,0.125,1.320421576499939,2.2685461044311523,0.9481245279312134,0.25,0.375,0.125,1.320421576499939,2.2685461044311523,0.9481245279312134,0.09274237509816885,-1,-1.0,0.22916666666666666,96,3,11,nan,nan,0
gumbel_st_cage,parity6,0,0.75,0.75,0.0,0.6714721918106079,0.6922450661659241,0.020772874355316162,0.75,0.75,0.0,0.6714721918106079,0.6922450661659241,0.020772874355316162,0.09278004476800561,-1,-1.0,0.23958333333333334,96,3,11,nan,nan,0
hard_st,parity6,0,0.25,0.3125,0.0625,0.7945976257324219,1.5619741678237915,0.7673765420913696,0.3125,0.3125,0.0,1.5619741678237915,1.5619741678237915,0.0,0.09004989988170564,-1,-1.0,0.2604166666666667,96,3,11,nan,nan,0
hard_st_cage,parity6,0,0.25,0.4375,0.1875,0.7032425403594971,1.2239397764205933,0.5206972360610962,0.4375,0.4375,0.0,1.2239397764205933,1.2239397764205933,0.0,0.09018124802969396,-1,-1.0,0.2916666666666667,96,3,11,nan,nan,0
block_relaxed,parity6,0,0.25,0.4375,0.1875,0.8382763266563416,1.2751067876815796,0.43683046102523804,0.25,0.4375,0.1875,0.8382763266563416,1.2751067876815796,0.43683046102523804,0.04425774700939655,-1,-1.0,0.20833333333333334,96,3,11,nan,nan,0
block_hard_refit,parity6,0,0.25,0.4375,0.1875,0.8819221258163452,1.3665738105773926,0.48465168476104736,0.375,0.4375,0.0625,0.8782818913459778,1.3665738105773926,0.4882919192314148,0.05225899792276323,-1,-1.0,0.19791666666666666,96,3,11,nan,nan,0
block_hard_task_refit,parity6,0,0.25,0.375,0.125,0.7911297082901001,0.9944759011268616,0.20334619283676147,0.25,0.375,0.125,0.8719240427017212,0.9944759011268616,0.12255185842514038,0.43846081919036806,-1,-1.0,0.375,96,3,11,nan,nan,0
dlgn,majority7,0,0.65625,0.53125,0.125,0.6623903512954712,0.9896286129951477,0.3272382616996765,0.65625,0.53125,0.125,0.6623903512954712,0.9896286129951477,0.3272382616996765,0.10329467593692243,-1,-1.0,0.3541666666666667,96,3,10,nan,nan,0
dlgn_anneal,majority7,0,0.875,0.625,0.25,0.39779534935951233,0.8437695503234863,0.445974200963974,0.875,0.625,0.25,0.39779534935951233,0.8437695503234863,0.445974200963974,0.11226288601756096,-1,-1.0,0.3645833333333333,96,3,10,nan,nan,0
gumbel_st,majority7,0,0.5625,0.4375,0.125,0.8198567628860474,1.1717638969421387,0.3519071340560913,0.5625,0.4375,0.125,0.8198567628860474,1.1717638969421387,0.3519071340560913,0.10814222390763462,-1,-1.0,0.3229166666666667,96,3,10,nan,nan,0
gumbel_st_cage,majority7,0,0.5,0.40625,0.09375,0.7009954452514648,1.502512812614441,0.8015173673629761,0.5,0.40625,0.09375,0.7009954452514648,1.502512812614441,0.8015173673629761,0.10860727587714791,-1,-1.0,0.3229166666666667,96,3,10,nan,nan,0
hard_st,majority7,0,0.6875,0.71875,0.03125,0.6801943182945251,0.7741768956184387,0.09398257732391357,0.71875,0.71875,0.0,0.7741768956184387,0.7741768956184387,0.0,0.10570887196809053,-1,-1.0,0.28125,96,3,10,nan,nan,0
hard_st_cage,majority7,0,0.5,0.59375,0.09375,0.6927856802940369,0.9386733770370483,0.24588769674301147,0.59375,0.59375,0.0,0.9386733770370483,0.9386733770370483,0.0,0.10643978393636644,-1,-1.0,0.28125,96,3,10,nan,nan,0
block_relaxed,majority7,0,0.5,0.53125,0.03125,0.689669668674469,1.4654436111450195,0.7757739424705505,0.5,0.53125,0.03125,0.689669668674469,1.4654436111450195,0.7757739424705505,0.05247147916816175,-1,-1.0,0.34375,96,3,10,nan,nan,0
block_hard_refit,majority7,0,0.5,0.75,0.25,0.6924147009849548,0.609252393245697,0.08316230773925781,0.75,0.75,0.0,0.6147055625915527,0.609252393245697,0.005453169345855713,0.06116809812374413,-1,-1.0,0.3229166666666667,96,3,10,nan,nan,0
block_hard_task_refit,majority7,0,0.5,0.75,0.25,0.7239621877670288,0.4408608078956604,0.2831013798713684,0.8125,0.75,0.0625,0.5444212555885315,0.4408608078956604,0.1035604476928711,0.5011311138514429,-1,-1.0,0.3125,96,3,10,nan,nan,0
dlgn,random_sparse8,0,0.734375,0.5625,0.171875,0.6420890688896179,1.2675520181655884,0.6254629492759705,0.734375,0.5625,0.171875,0.6420890688896179,1.2675520181655884,0.6254629492759705,0.1656439050566405,-1,-1.0,0.09375,96,3,8,nan,nan,0
dlgn_anneal,random_sparse8,0,0.765625,0.703125,0.0625,0.43349379301071167,0.734754741191864,0.30126094818115234,0.765625,0.703125,0.0625,0.43349379301071167,0.734754741191864,0.30126094818115234,0.17829019902274013,-1,-1.0,0.08333333333333333,96,3,8,nan,nan,0
gumbel_st,random_sparse8,0,0.328125,0.421875,0.09375,1.176578402519226,1.8261843919754028,0.6496059894561768,0.328125,0.421875,0.09375,1.176578402519226,1.8261843919754028,0.6496059894561768,0.16364643699489534,-1,-1.0,0.16666666666666666,96,3,8,nan,nan,0
gumbel_st_cage,random_sparse8,0,0.671875,0.28125,0.390625,0.6909810304641724,1.8490967750549316,1.1581157445907593,0.671875,0.28125,0.390625,0.6909810304641724,1.8490967750549316,1.1581157445907593,0.13384664710611105,-1,-1.0,0.16666666666666666,96,3,8,nan,nan,0
hard_st,random_sparse8,0,0.671875,0.734375,0.0625,0.6338455080986023,0.558813214302063,0.0750322937965393,0.734375,0.734375,0.0,0.558813214302063,0.558813214302063,0.0,0.16550892498344183,-1,-1.0,0.19791666666666666,96,3,8,nan,nan,0
hard_st_cage,random_sparse8,0,0.671875,0.78125,0.109375,0.6512446403503418,0.41667962074279785,0.23456501960754395,0.78125,0.78125,0.0,0.41667962074279785,0.41667962074279785,0.0,0.1693014558404684,-1,-1.0,0.19791666666666666,96,3,8,nan,nan,0
block_relaxed,random_sparse8,0,0.671875,0.328125,0.34375,0.6722760200500488,2.5935263633728027,1.921250343322754,0.671875,0.328125,0.34375,0.6722760200500488,2.5935263633728027,1.921250343322754,0.2528255400247872,-1,-1.0,0.21875,96,3,8,nan,nan,0
block_hard_refit,random_sparse8,0,0.671875,0.640625,0.03125,0.6761724352836609,0.8468530178070068,0.17068058252334595,0.59375,0.640625,0.046875,0.6726540327072144,0.8468530178070068,0.17419898509979248,0.097809003200382,-1,-1.0,0.25,96,3,8,nan,nan,0
block_hard_task_refit,random_sparse8,0,0.671875,0.640625,0.03125,0.6406141519546509,0.5533674359321594,0.08724671602249146,0.515625,0.640625,0.125,0.7246132493019104,0.5533674359321594,0.17124581336975098,0.5883950730785728,-1,-1.0,0.34375,96,3,8,nan,nan,0
