method,dataset,seed,abc_status,abc_path,blif_path,abc_log_path,pre_gate_count,pre_depth,pre_fanout_max,abc_returncode,abc_pre_inputs,abc_pre_outputs,abc_pre_lat,abc_pre_nd,abc_pre_edge,abc_pre_cube,abc_pre_lev,abc_post_inputs,abc_post_outputs,abc_post_lat,abc_post_and,abc_post_lev,abc_stat_lines
dlgn,parity8,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/parity8__dlgn__seed0.blif,synthesis/parity8__dlgn__seed0.abc.log,512,4,32,0,8,128,0,512,896,887,4,8,128,0,176,8,2
dlgn_anneal,parity8,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/parity8__dlgn_anneal__seed0.blif,synthesis/parity8__dlgn_anneal__seed0.abc.log,512,4,32,0,8,128,0,512,904,889,4,8,128,0,184,6,2
gumbel_st,parity8,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/parity8__gumbel_st__seed0.blif,synthesis/parity8__gumbel_st__seed0.abc.log,512,4,32,0,8,128,0,512,888,876,4,8,128,0,174,6,2
hard_st_cage,parity8,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/parity8__hard_st_cage__seed0.blif,synthesis/parity8__hard_st_cage__seed0.abc.log,512,4,32,0,8,128,0,512,880,881,4,8,128,0,116,6,2
block_relaxed,parity8,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/parity8__block_relaxed__seed0.blif,synthesis/parity8__block_relaxed__seed0.abc.log,512,4,32,0,8,128,0,512,888,865,4,8,128,0,172,6,2
block_hard_refit,parity8,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/parity8__block_hard_refit__seed0.blif,synthesis/parity8__block_hard_refit__seed0.abc.log,512,4,32,0,8,128,0,512,792,677,4,8,128,0,128,5,2
block_hard_task_refit,parity8,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/parity8__block_hard_task_refit__seed0.blif,synthesis/parity8__block_hard_task_refit__seed0.abc.log,512,4,32,0,8,128,0,512,766,655,4,8,128,0,56,4,2
dlgn,majority9,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/majority9__dlgn__seed0.blif,synthesis/majority9__dlgn__seed0.abc.log,512,4,29,0,9,128,0,512,912,907,4,9,128,0,172,6,2
dlgn_anneal,majority9,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/majority9__dlgn_anneal__seed0.blif,synthesis/majority9__dlgn_anneal__seed0.abc.log,512,4,29,0,9,128,0,512,928,924,4,9,128,0,168,5,2
gumbel_st,majority9,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/majority9__gumbel_st__seed0.blif,synthesis/majority9__gumbel_st__seed0.abc.log,512,4,29,0,9,128,0,512,888,894,4,9,128,0,199,7,2
hard_st_cage,majority9,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/majority9__hard_st_cage__seed0.blif,synthesis/majority9__hard_st_cage__seed0.abc.log,512,4,29,0,9,128,0,512,858,850,4,9,128,0,117,6,2
block_relaxed,majority9,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/majority9__block_relaxed__seed0.blif,synthesis/majority9__block_relaxed__seed0.abc.log,512,4,29,0,9,128,0,512,888,883,4,9,128,0,185,7,2
block_hard_refit,majority9,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/majority9__block_hard_refit__seed0.blif,synthesis/majority9__block_hard_refit__seed0.abc.log,512,4,29,0,9,128,0,512,826,719,4,9,128,0,157,7,2
block_hard_task_refit,majority9,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/majority9__block_hard_task_refit__seed0.blif,synthesis/majority9__block_hard_task_refit__seed0.abc.log,512,4,29,0,9,128,0,512,786,695,4,9,128,0,79,5,2
dlgn,random_sparse10,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/random_sparse10__dlgn__seed0.blif,synthesis/random_sparse10__dlgn__seed0.abc.log,512,4,26,0,10,128,0,512,920,894,4,10,128,0,238,7,2
dlgn_anneal,random_sparse10,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/random_sparse10__dlgn_anneal__seed0.blif,synthesis/random_sparse10__dlgn_anneal__seed0.abc.log,512,4,26,0,10,128,0,512,926,902,4,10,128,0,236,7,2
gumbel_st,random_sparse10,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/random_sparse10__gumbel_st__seed0.blif,synthesis/random_sparse10__gumbel_st__seed0.abc.log,512,4,26,0,10,128,0,512,890,850,4,10,128,0,193,6,2
hard_st_cage,random_sparse10,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/random_sparse10__hard_st_cage__seed0.blif,synthesis/random_sparse10__hard_st_cage__seed0.abc.log,512,4,26,0,10,128,0,512,882,849,4,10,128,0,142,7,2
block_relaxed,random_sparse10,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/random_sparse10__block_relaxed__seed0.blif,synthesis/random_sparse10__block_relaxed__seed0.abc.log,512,4,26,0,10,128,0,512,894,857,4,10,128,0,194,6,2
block_hard_refit,random_sparse10,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/random_sparse10__block_hard_refit__seed0.blif,synthesis/random_sparse10__block_hard_refit__seed0.abc.log,512,4,26,0,10,128,0,512,784,661,4,10,128,0,128,7,2
block_hard_task_refit,random_sparse10,0,ok,/home/spco/boolean_sat/abc/abc,synthesis/random_sparse10__block_hard_task_refit__seed0.blif,synthesis/random_sparse10__block_hard_task_refit__seed0.abc.log,512,4,26,0,10,128,0,512,720,605,4,10,128,0,55,5,2
