method,dataset,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,train_time,epochs_to_target,unused_gate_ratio,gate_count,depth,fanout_max
dlgn,majority9,1,0.70052083,0.29947917,0.012829333,101.35443,101.3416,5.2605406,-1,0.92903646,512,4,29
dlgn_anneal,majority9,0.984375,0.82552083,0.15885417,0.20448269,44.037492,43.833009,5.8370434,-1,0.93489583,512,4,29
gumbel_st,majority9,0.47916667,0.52083333,0.041666667,26.122091,163.34984,137.22775,5.3929445,-1,0.99023438,512,4,29
hard_st_cage,majority9,0.52083333,0.8046875,0.28385417,10.361409,23.234844,12.873435,5.4342491,-1,0.97070312,512,4,29
block_relaxed,majority9,0.625,0.48697917,0.13802083,0.68486116,167.26331,166.57845,1.2441823,-1,0.98111979,512,4,29
block_hard_refit,majority9,0.5,0.78125,0.28125,26.022965,41.988455,25.455036,1.3048264,-1,0.98632812,512,4,29
block_hard_task_refit,majority9,0.52083333,0.67708333,0.15625,24.29578,24.914676,11.244834,3.6348045,-1,0.98307292,512,4,29
dlgn,parity8,0.46354167,0.52083333,0.15104167,1.2043826,151.65997,150.45559,2.748653,-1,0.97330729,512,4,32
dlgn_anneal,parity8,0.24479167,0.4375,0.19270833,15.641653,169.31776,153.67611,3.0079916,-1,0.97851562,512,4,32
gumbel_st,parity8,0.46875,0.546875,0.088541667,8.69403,164.10582,155.41179,2.8577473,-1,0.98958333,512,4,32
hard_st_cage,parity8,0.46875,0.4375,0.072916667,6.8828692,95.97774,89.094871,2.8207091,-1,0.9921875,512,4,32
block_relaxed,parity8,0.5,0.484375,0.057291667,0.73816893,169.84943,169.11126,0.71045941,-1,0.97981771,512,4,32
block_hard_refit,parity8,0.54166667,0.484375,0.057291667,7.0834903,100.62914,93.545645,0.75655242,-1,0.98632812,512,4,32
block_hard_task_refit,parity8,0.46875,0.45833333,0.041666667,33.669244,44.035201,12.530952,2.8927911,-1,0.984375,512,4,32
dlgn,random_sparse10,1,0.6171875,0.3828125,0.0016324003,109.69409,109.69245,9.9192173,-1,0.89192708,512,4,26
dlgn_anneal,random_sparse10,0.99869792,0.78125,0.21744792,0.0020858076,52.771385,52.769299,11.160525,-1,0.87044271,512,4,26
gumbel_st,random_sparse10,0.51692708,0.5546875,0.063802083,18.954587,158.12436,139.16977,10.110153,-1,0.9921875,512,4,26
hard_st_cage,random_sparse10,0.53515625,0.95963542,0.42447917,17.284232,3.9360338,13.348198,10.058896,71.5,0.88346354,512,4,26
block_relaxed,random_sparse10,0.48177083,0.42317708,0.05859375,0.82911628,205.66664,204.83752,2.3276937,-1,0.98242188,512,4,26
block_hard_refit,random_sparse10,0.50651042,0.69921875,0.19270833,15.094318,96.406508,81.312191,2.4026179,-1,0.99023438,512,4,26
block_hard_task_refit,random_sparse10,0.52473958,0.61848958,0.13541667,41.285133,24.458824,16.82631,5.1221278,-1,0.98763021,512,4,26
dlgn,digits,0.92222222,0.42,0.50222222,0.41813131,142.43543,142.0173,12.58024,-1,0.790625,1280,4,10
dlgn_anneal,digits,0.90222222,0.69333333,0.20888889,9.5175456,54.597839,45.080293,13.628969,-1,0.709375,1280,4,10
gumbel_st,digits,0.095555556,0.082222222,0.013333333,34.375004,409.11437,374.73937,12.042941,-1,0.996875,1280,4,10
hard_st_cage,digits,0.36666667,0.64888889,0.28222222,9.4900836,49.291884,39.8018,11.854542,-1,0.83984375,1280,4,10
block_relaxed,digits,0.13555556,0.10444444,0.031111111,2.3640221,406.42663,404.06261,2.6840451,-1,0.978125,1280,4,10
block_hard_refit,digits,0.10222222,0.24444444,0.14222222,36.828429,186.35094,149.52251,2.6967068,-1,0.9890625,1280,4,10
block_hard_task_refit,digits,0.1,0.11777778,0.017777778,48.27102,69.679232,21.408212,4.5443515,-1,0.9828125,1280,4,10
dlgn,cifar10_small,0.22,0.09,0.13,8.969377,893.68088,884.7115,2.4699336,-1,0.97666667,4800,3,2
dlgn_anneal,cifar10_small,0.226,0.15,0.076,108.17906,655.72375,547.54469,2.0086365,-1,0.979375,4800,3,2
gumbel_st,cifar10_small,0.126,0.106,0.02,131.83661,992.88425,861.04764,2.0135227,-1,0.98395833,4800,3,2
hard_st_cage,cifar10_small,0.1,0.194,0.094,39.345477,540.13419,500.78871,1.8937478,-1,0.98708333,4800,3,2
block_relaxed,cifar10_small,0.116,0.112,0.004,6.8123721,1033.2636,1026.4513,0.71920728,-1,0.98291667,4800,3,2
block_hard_refit,cifar10_small,0.1,0.164,0.064,86.253047,516.11681,429.86377,2.1580439,-1,0.98916667,4800,3,2
