family,step,validation_eval_accuracy,validation_train_mode_accuracy
attention_clean_augmented_k8,5000,0.6525829434394836,0.6262037754058838
attention_clean_augmented_k8,10000,0.693742036819458,0.6774314641952515
attention_clean_augmented_k8,15000,0.7031608819961548,0.6799266934394836
attention_clean_augmented_k8,20000,0.7133649587631226,0.6956034898757935
attention_clean_augmented_k8,25000,0.7311623096466064,0.7086893916130066
attention_clean_augmented_k8,30000,0.7382692694664001,0.7138751745223999
attention_clean_augmented_k8,35000,0.7441446185112,0.7175542116165161
attention_clean_augmented_k8,40000,0.7330397367477417,0.708027720451355
attention_clean_augmented_k8,45000,0.7536670565605164,0.7280532717704773
attention_clean_augmented_k8,50000,0.7571508288383484,0.7349609136581421
attention_clean_augmented_k8,55000,0.7307556867599487,0.6982501745223999
attention_clean_augmented_k8,60000,0.7483338117599487,0.7204081416130066
attention_clean_augmented_k8,65000,0.7608458399772644,0.7376395463943481
attention_clean_augmented_k8,70000,0.7582310438156128,0.7312858700752258
attention_clean_augmented_k8,75000,0.7518494725227356,0.7244738340377808
attention_clean_augmented_k8,80000,0.7572544813156128,0.7211734652519226
attention_clean_augmented_k8,85000,0.7670798897743225,0.7401626706123352
attention_clean_augmented_k8,90000,0.7532166242599487,0.7240592837333679
attention_clean_augmented_k8,95000,0.7638791799545288,0.7325135469436646
attention_clean_augmented_k8,100000,0.7656728029251099,0.7372608184814453
attention_clean_augmented_k8,105000,0.7589246034622192,0.727347731590271
attention_clean_augmented_k8,110000,0.7834542393684387,0.7537986040115356
attention_clean_augmented_k8,115000,0.7773716449737549,0.7397839426994324
attention_clean_augmented_k8,120000,0.762711226940155,0.7250478267669678
attention_clean_augmented_k8,125000,0.7811583280563354,0.753125011920929
attention_clean_augmented_k8,130000,0.777535080909729,0.7525390386581421
attention_clean_augmented_k8,135000,0.7808274626731873,0.7542849183082581
attention_clean_augmented_k8,140000,0.7862802743911743,0.7582947611808777
attention_clean_augmented_k8,145000,0.7871810793876648,0.7570591568946838
attention_clean_augmented_k8,150000,0.7913265228271484,0.7585658431053162
attention_clean_augmented_k8,155000,0.7837731242179871,0.7636399865150452
attention_clean_augmented_k8,160000,0.7897799611091614,0.7564014196395874
attention_clean_augmented_k8,165000,0.7877830266952515,0.7606385350227356
attention_clean_augmented_k8,170000,0.7858737111091614,0.7529336810112
attention_clean_augmented_k8,175000,0.7905611991882324,0.7537986040115356
attention_clean_augmented_k8,180000,0.7837412357330322,0.7459622621536255
attention_clean_augmented_k8,185000,0.7778977751731873,0.7543407678604126
attention_clean_augmented_k8,190000,0.7800342440605164,0.746077835559845
attention_clean_augmented_k8,195000,0.7770568132400513,0.7391103506088257
