variant,block_setting,replace_blocks,replaced_block_count,topk,aggregation,router,candidate_tokens,patch_token_update,soft_route_topk_active,seed,teacher_iters,eval_split,eval_max_batches,soft_acc,soft_loss,hard_acc,hard_loss,soft_to_hard_drop,hard_discretization_worsens,train_time_sec,train_elapsed_sec,eval_time_sec,peak_memory_mb,trainable_params,mixer_params,soft_drop_vs_full_attention,hard_drop_vs_full_attention,hard_extra_drop_vs_soft,cls_feature_cosine_vs_full_attention,cls_feature_cosine_vs_full_attention_soft,mean_overlap_with_full_attn_topk,mean_hard_routing_entropy_norm,mean_score_softmax_entropy_norm,diagnostic_time_sec
full_attention,full_attention,,0,-1,,full_attention,full_sequence,full_attention,False,0,8000,test,-1,0.6243,1.0629384944915772,0.6243,1.0629384944915772,0.0,False,1010.4500753879547,1010.5270352363586,9.756011486053467,1690.1826171875,982900,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
static_mean,"b4,b5","4,5",2,4,mean,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6358,1.0466491269111633,0.6358,1.0466491216659546,0.0,False,1029.0497858524323,1029.1247193813324,10.082552194595337,1640.09375,835444,148992,-0.011500000000000066,-0.011500000000000066,0.0,0.36229014545679095,0.36229014545679095,0.06839192708333333,0.3333333432674408,0.9811551570892334,5.218021392822266
static_weighted,"b4,b5","4,5",2,4,weighted,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6216,1.0749179599761962,0.6216,1.0749179599761962,0.0,False,1029.8564720153809,1029.963160276413,12.61053204536438,1651.0654296875,835444,148992,0.0026999999999999247,0.0026999999999999247,0.0,0.2885937139391899,0.2885937139391899,0.057470703124999994,0.31957711776097614,0.9948414415121078,5.409671783447266
dynamic_mean,"b4,b5","4,5",2,4,mean,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6113,1.0970229469299317,0.6113,1.0970229454040528,0.0,False,1031.5369415283203,1031.686665058136,9.588983535766602,1691.615234375,982900,296448,0.013000000000000012,0.013000000000000012,0.0,0.4155055955052376,0.4155055984854698,0.07045898437499999,0.3333333432674408,0.2109112209950884,5.206363201141357
dynamic_weighted,"b4,b5","4,5",2,4,weighted,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6088,1.082050053024292,0.6088,1.082050053024292,0.0,False,1036.915311574936,1037.0155880451202,9.748205184936523,1695.4150390625,982900,296448,0.015499999999999958,0.015499999999999958,0.0,0.30336171984672544,0.30336171984672544,0.0705810546875,0.27039416804909705,0.5347775890181462,4.67731499671936
static_mean,"b4,b5","4,5",2,8,mean,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6258,1.078759203338623,0.6258,1.0787586347579956,0.0,False,1029.3886888027191,1029.4762094020844,9.888208389282227,1654.935546875,835444,148992,-0.0015000000000000568,-0.0015000000000000568,0.0,0.34158614575862883,0.3415861427783966,0.14158935546875,0.5,0.9903641392787298,5.289434432983398
static_weighted,"b4,b5","4,5",2,8,weighted,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.636,1.0359148295402527,0.636,1.0359148295402527,0.0,False,1022.3095383644104,1022.400990486145,9.633944272994995,1655.3544921875,835444,148992,-0.011700000000000044,-0.011700000000000044,0.0,0.4200244888663292,0.4200244888663292,0.09892578125000001,0.4825977037350337,0.9921195755402247,5.151010751724243
dynamic_mean,"b4,b5","4,5",2,8,mean,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.5809,1.1518360021591187,0.5809,1.1518360036849975,0.0,False,898.877124786377,898.975531578064,11.858497858047485,1695.904296875,982900,296448,0.043399999999999994,0.043399999999999994,0.0,0.33304010331630707,0.3330401018261909,0.15764973958333334,0.5,0.13895622928005955,4.434547662734985
dynamic_weighted,"b4,b5","4,5",2,8,weighted,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6199,1.070662837600708,0.6199,1.070662837600708,0.0,False,447.054137468338,447.2077798843384,4.528970956802368,1699.7041015625,982900,296448,0.0043999999999999595,0.0043999999999999595,0.0,0.37675699442625044,0.37675699442625044,0.15126139322916668,0.3125578343247374,0.40789468201498186,0.9139542579650879
static_mean,"b4,b5","4,5",2,16,mean,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6178,1.0731762676239014,0.6178,1.0731762638092042,0.0,False,388.49928736686707,388.59203815460205,4.368909597396851,1655.076171875,835444,148992,0.00649999999999995,0.00649999999999995,0.0,0.3547750562429428,0.35477505773305895,0.263128662109375,0.6666666865348816,0.9763889908790588,0.9089469909667969
static_weighted,"b4,b5","4,5",2,16,weighted,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6068,1.1055613702774048,0.6068,1.1055613702774048,0.0,False,385.21278953552246,385.29855394363403,4.475675106048584,1655.4951171875,835444,148992,0.01749999999999996,0.01749999999999996,0.0,0.28127986043691633,0.28127986043691633,0.26913859049479166,0.6557711809873581,0.9922273953755697,0.9087333679199219
dynamic_mean,"b4,b5","4,5",2,16,mean,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.5197,1.3316656021118165,0.5197,1.3316655988693238,0.0,False,404.6695992946625,404.75559258461,4.54428243637085,1696.044921875,982900,296448,0.10459999999999992,0.10459999999999992,0.0,0.2954339668154716,0.2954339638352394,0.24624837239583333,0.6666666865348816,0.13333712943519155,0.9055008888244629
dynamic_weighted,"b4,b5","4,5",2,16,weighted,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6232,1.07150458984375,0.6232,1.07150458984375,0.0,False,403.85505747795105,403.94778633117676,4.447644948959351,1699.8447265625,982900,296448,0.0010999999999999899,0.0010999999999999899,0.0,0.39992935955524445,0.39992935955524445,0.2548441569010417,0.4512694661815961,0.5227121805151304,0.9065029621124268
