variant,block_setting,replace_blocks,replaced_block_count,topk,aggregation,router,candidate_tokens,patch_token_update,soft_route_topk_active,seed,teacher_iters,eval_split,eval_max_batches,soft_acc,soft_loss,hard_acc,hard_loss,soft_to_hard_drop,hard_discretization_worsens,train_time_sec,train_elapsed_sec,eval_time_sec,peak_memory_mb,trainable_params,mixer_params,soft_drop_vs_full_attention,hard_drop_vs_full_attention,hard_extra_drop_vs_soft,cls_feature_cosine_vs_full_attention,cls_feature_cosine_vs_full_attention_soft,mean_overlap_with_full_attn_topk,mean_hard_routing_entropy_norm,mean_score_softmax_entropy_norm,diagnostic_time_sec
full_attention,full_attention,,0,-1,,full_attention,full_sequence,full_attention,False,0,8000,test,-1,0.6243,1.0629384944915772,0.6243,1.0629384944915772,0.0,False,1099.1136147975922,1099.1973724365234,10.827161312103271,1690.1826171875,982900,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
static_mean,b5,5,1,4,mean,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6191,1.0943210987091065,0.6191,1.0943210973739623,0.0,False,1107.8465657234192,1107.9455420970917,10.483614921569824,1671.4677734375,909172,74496,0.005199999999999982,0.005199999999999982,0.0,0.3341334745287895,0.33413347601890564,0.09796549479166668,0.3333333432674408,0.984329620997111,4.012064218521118
static_weighted,b5,5,1,4,weighted,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6308,1.055589789581299,0.6308,1.055589789581299,0.0,False,1106.981763601303,1107.0748205184937,10.80184531211853,1683.283203125,909172,74496,-0.006500000000000061,-0.006500000000000061,0.0,0.29205685406923293,0.29205685406923293,0.09111328125,0.3118736495574315,0.9917296469211578,3.9692397117614746
dynamic_mean,b5,5,1,4,mean,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6113,1.0889114157676696,0.6113,1.0889114105224609,0.0,False,1121.746886253357,1121.8574883937836,10.644927740097046,1704.61279296875,982900,148224,0.013000000000000012,0.013000000000000012,0.0,0.3701783433556557,0.3701783403754234,0.07247721354166665,0.3333333432674408,0.19693003781139853,3.957430362701416
dynamic_weighted,b5,5,1,4,weighted,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6145,1.0925510656356812,0.6145,1.0925510656356812,0.0,False,1119.7487256526947,1119.862289905548,10.328757762908936,1707.5673828125,982900,148224,0.00979999999999992,0.00979999999999992,0.0,0.3085924208164215,0.3085924208164215,0.06365559895833332,0.26305360148350393,0.5034266916414102,3.9640772342681885
static_mean,b5,5,1,8,mean,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6144,1.1104577966690063,0.6144,1.1104577920913696,0.0,False,1104.8694705963135,1104.9760699272156,11.898022174835205,1686.27294921875,909172,74496,0.00990000000000002,0.00990000000000002,0.0,0.33570610731840134,0.33570610731840134,0.15531412760416666,0.5,0.9911700884501139,4.159636497497559
static_weighted,b5,5,1,8,weighted,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6308,1.048407774734497,0.6308,1.048407774734497,0.0,False,1536.9471909999847,1537.0781645774841,16.417805433273315,1687.537109375,909172,74496,-0.006500000000000061,-0.006500000000000061,0.0,0.3458303168416023,0.3458303168416023,0.13845214843749998,0.4878179281949997,0.9944992959499359,6.2986979484558105
dynamic_mean,b5,5,1,8,mean,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.5964,1.1336382549285888,0.5964,1.1336382534027099,0.0,False,1611.4049406051636,1611.5569622516632,14.046241998672485,1708.86669921875,982900,148224,0.027899999999999925,0.027899999999999925,0.0,0.3392617881298065,0.33926178365945814,0.1194580078125,0.5,0.13586633962889513,6.032016038894653
dynamic_weighted,b5,5,1,8,weighted,dynamic,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6169,1.0746179838180543,0.6169,1.0746179838180543,0.0,False,1610.1132276058197,1610.219275712967,14.101073503494263,1711.8212890625,982900,148224,0.007399999999999962,0.007399999999999962,0.0,0.3393749833106995,0.3393749833106995,0.14189453124999998,0.33239144024749595,0.4557859607040882,6.045141220092773
static_mean,b5,5,1,16,mean,static,patch_only,unchanged_zero_residual,True,0,8000,test,-1,0.6233,1.0601504927635192,0.6233,1.060150496673584,0.0,False,1387.8071925640106,1387.9110715389252,14.0879487991333,1686.34326171875,909172,74496,0.0010000000000000009,0.0010000000000000009,0.0,0.3559597358107567,0.3559597358107567,0.25963134765625,0.6666666865348816,0.9725387195746104,5.660920858383179
